City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,tolanaro,-25.0319,46.9987,22.55,88,98,5.26,MG,1712096317
233,kailua-kona,19.6406,-155.9956,27.98,80,40,4.63,US,1712096040
234,saint-denis,48.9167,2.3333,12.45,76,0,5.14,FR,1712096317
235,malchow,53.4748,12.4221,8.26,96,100,4.71,DE,1712096318
236,usta muhammad,28.1794,68.0445,25.55,15,32,2.08,PK,1712096318
237,smithers,54.7804,-127.1743,8.18,39,20,8.23,CA,1712096318
238,lusambo,-4.9667,23.45,20.38,99,83,0.69,CD,1712096318
239,nouadhibou,20.931,-17.0347,20.99,56,0,8.75,MR,1712096318
240,remire-montjoly,4.9167,-52.2667,28.02,83,100,3.09,GF,1712096021
241,qingdao,36.0986,120.3719,10.93,93,100,5.14,CN,1712096319
242,callao,-12.0667,-77.15,24.16,64,0,6.69,PE,1712096319
243,nuku'alofa,-21.1333,-175.2,29.19,70,20,5.66,TO,1712096320
244,qandala,11.472,49.8728,27.63,75,97,1.84,SO,1712096320
245,kone,-21.0595,164.8658,27.43,62,7,2.28,NC,1712096320
246,illizi,26.4833,8.4667,26.89,9,72,3.19,DZ,1712096320
247,saint-philippe,-21.3585,55.7679,24.77,84,100,6.79,RE,1712096321
248,kodinsk,58.6881,99.1844,-6.42,98,99,1.73,RU,1712096321
249,segovia,41.1667,-4.0,7.46,82,61,3.16,ES,1712096321
250,hithadhoo,-0.6,73.0833,28.34,75,80,1.86,MV,1712096321
251,sinabang,2.4803,96.3801,27.18,80,99,1.0,ID,1712096321
252,cowra,-33.8333,148.6833,14.62,67,0,0.26,AU,1712096135
253,ketovo,55.355,65.3258,1.09,94,42,5.23,RU,1712096322
254,qionghai,19.2425,110.4642,24.77,86,3,5.89,CN,1712096322
255,antofagasta,-23.65,-70.4,20.37,73,23,2.21,CL,1712096058
256,tual,-5.6667,132.75,27.09,85,100,6.59,ID,1712096322
257,n'dalatando,-9.2978,14.9116,21.17,98,79,0.77,AO,1712096323
258,koryazhma,61.3143,47.1691,-0.05,89,100,3.28,RU,1712096323
259,ca mau,9.1769,105.15,25.57,81,67,1.64,VN,1712096323
260,vadso,70.0744,29.7487,-11.91,79,96,6.69,NO,1712096324
261,luz,-19.8014,-45.6856,21.08,85,87,1.15,BR,1712096324
262,abong mbang,3.9833,13.1833,23.12,67,99,1.17,CM,1712096324
263,port alfred,-33.5906,26.891,15.66,88,70,4.92,ZA,1712096324
264,tadine,-21.55,167.8833,25.91,71,7,5.31,NC,1712096324
265,fisterra,42.9049,-9.2629,14.3,92,23,8.89,ES,1712096325
266,benjamin constant,-4.3831,-70.0311,32.07,58,20,1.54,BR,1712096325
267,coyhaique,-45.5752,-72.0662,7.34,87,75,1.54,CL,1712096325
268,ban su-ngai pa di,6.0724,101.8717,26.77,96,74,0.97,TH,1712096326
269,manismata,-2.4667,111.0333,23.9,98,40,0.41,ID,1712096326
270,lerwick,60.1545,-1.1494,5.0,62,100,12.98,GB,1712096326
271,rio grande,-32.035,-52.0986,20.06,66,71,4.27,BR,1712095645
272,cockburn town,21.4612,-71.1419,25.0,78,12,7.63,TC,1712096327
273,bakanas,44.8081,76.2772,9.0,42,89,3.22,KZ,1712096327
274,esquel,-42.9,-71.3167,6.48,80,59,6.58,AR,1712096327
275,afaahiti,-17.75,-149.2833,28.93,76,64,8.32,PF,1712096178
276,taroa,8.7058,171.2275,27.17,72,100,7.64,MH,1712096327
277,barillas,15.8036,-91.3158,30.9,28,1,1.67,GT,1712096328
278,gagliano del capo,39.8442,18.3695,14.68,67,44,1.03,IT,1712096328
279,egilsstadir,65.2653,-14.3948,-3.05,63,75,2.57,IS,1712096328
280,st. john's,47.5649,-52.7093,1.65,89,83,10.73,CA,1712096146
281,keflavik,64.0049,-22.5624,0.95,100,100,5.14,IS,1712096329
282,kangiwa,12.5521,3.8187,32.91,9,41,2.79,NG,1712096329
283,guerrero negro,27.9769,-114.0611,21.56,43,0,4.57,MX,1712096129
284,klyuchi,52.2667,79.1667,0.21,95,91,2.91,RU,1712096330
285,bata,1.8639,9.7658,26.83,88,87,2.54,GQ,1712096330
286,nemuro,43.3236,145.575,1.13,68,1,2.88,JP,1712096057
287,naze,28.3667,129.4833,21.51,90,55,8.11,JP,1712096330
288,qamdo,31.1667,97.2333,-1.2,64,95,2.67,CN,1712096331
289,tura,25.5198,90.2201,20.71,62,45,2.35,IN,1712096152
290,nicoya,10.1483,-85.452,33.4,42,10,3.49,CR,1712096331
291,'ali sabieh,11.1558,42.7125,25.07,76,100,5.01,DJ,1712096175
292,san patricio,28.017,-97.5169,30.97,24,0,7.95,US,1712096332
293,sasebo,33.1592,129.7228,21.99,98,100,6.97,JP,1712096332
294,harstad,68.799,16.5293,-4.91,85,49,3.48,NO,1712096332
295,lamu,-2.2717,40.902,27.84,81,92,5.28,KE,1712096332
296,tshabong,-26.05,22.45,25.25,49,98,2.48,BW,1712096332
297,wenchang,30.904,118.4887,15.97,96,100,3.32,CN,1712096333
298,palikir - national government center,6.9248,158.1611,29.41,70,75,7.72,FM,1712096333
299,chul'man,56.8479,124.9104,-7.7,94,99,3.91,RU,1712096333
300,hilo,19.7297,-155.09,25.85,78,75,6.17,US,1712096175
301,toamasina,-18.1667,49.3833,24.26,92,76,3.2,MG,1712096334
302,mirny,62.5353,113.9611,-5.88,92,94,4.72,RU,1712096334
303,ghat,24.9647,10.1728,26.44,10,0,3.17,LY,1712096334
304,chiredzi,-21.05,31.6667,20.59,73,93,1.91,ZW,1712096334
305,arraial do cabo,-22.9661,-42.0278,23.98,88,0,1.54,BR,1712096334
306,onega,63.9061,38.1404,-5.39,76,100,5.2,RU,1712096335
307,qaqortoq,60.7167,-46.0333,-6.27,82,0,1.43,GL,1712096135
308,camiri,-20.05,-63.5167,29.88,62,75,2.06,BO,1712096335
309,sterling,39.0062,-77.4286,11.83,87,100,3.09,US,1712096276
310,zyryanskoye,56.8306,86.6258,0.25,98,100,3.04,RU,1712096335
311,berezniki,59.4152,56.8124,3.68,99,100,3.6,RU,1712096336
312,labytnangi,66.6572,66.4183,-9.19,84,57,6.74,RU,1712096336
313,carnarvon,-24.8667,113.6333,27.91,42,61,7.61,AU,1712096153
314,kualakapuas,-3.0091,114.3876,24.04,98,87,1.29,ID,1712096336
315,ha'il,27.5219,41.6907,19.01,34,0,1.03,SA,1712096336
316,freeport,40.6576,-73.5832,7.99,90,100,5.66,US,1712096337
317,kill devil hills,36.0307,-75.676,23.0,77,0,4.63,US,1712096052
318,zhanaozen,43.3,52.8,12.05,47,52,4.79,KZ,1712096337
319,inhambane,-23.865,35.3833,23.93,89,6,2.48,MZ,1712096337
320,santa ana,33.7456,-117.8678,28.86,51,20,5.14,US,1712096337
